tahun,kota_kota,kelurahan,jenis_kelamin,jumlah
2017,Jakarta Pusat,Petamburan,Perempuan,6334
2017,Jakarta Pusat,Kebon Melati,Perempuan,6077
2017,Jakarta Pusat,Kebon Kacang,Perempuan,3478
2017,Jakarta Pusat,Kampung Bali,Perempuan,2121
2017,Jakarta Pusat,Johar Baru,Perempuan,6450
2017,Jakarta Pusat,Kampung Rawa,Perempuan,4022
2017,Jakarta Pusat,Galur,Perempuan,3237
2017,Jakarta Pusat,Tanah Tinggi,Perempuan,6971
2017,Jakarta Utara,Penjaringan,Perempuan,15738
2017,Jakarta Utara,Kamal Muara,Perempuan,2118
2017,Jakarta Utara,Kapuk Muara,Perempuan,5454
2017,Jakarta Utara,Pejagalan,Perempuan,11581
2017,Jakarta Utara,Pluit,Perempuan,6066
2017,Jakarta Utara,Tanjung Priok,Perempuan,6199
2017,Jakarta Utara,Sunter Jaya,Perempuan,9975
2017,Jakarta Utara,Papanggo,Perempuan,6989
2017,Jakarta Utara,Sungai Bambu,Perempuan,5116
2017,Jakarta Utara,Kebon Bawang,Perempuan,8835
2017,Jakarta Utara,Sunter Agung,Perempuan,10871
2017,Jakarta Utara,Warakas,Perempuan,8014
2017,Jakarta Utara,Koja,Perempuan,4981
2017,Jakarta Utara,Tugu Utara,Perempuan,12375
2017,Jakarta Utara,Lagoa,Perempuan,10643
2017,Jakarta Utara,Rawa Badak Utara,Perempuan,6159
2017,Jakarta Utara,Tugu Selatan,Perempuan,6991
2017,Jakarta Utara,Rawa Badak Selatan,Perempuan,7650
2017,Jakarta Utara,Cilincing,Perempuan,8355
2017,Jakarta Utara,Sukapura,Perempuan,9740
2017,Jakarta Utara,Marunda,Perempuan,5274
2017,Jakarta Utara,Kali Baru,Perempuan,13607
2017,Jakarta Utara,Semper Timur,Perempuan,6449
2017,Jakarta Utara,Rorotan,Perempuan,7461
2017,Jakarta Utara,Semper Barat,Perempuan,12271
2017,Jakarta Utara,Pademangan Timur,Perempuan,5589
2017,Jakarta Utara,Pademangan Barat,Perempuan,12851
2017,Jakarta Utara,Ancol,Perempuan,4108
2017,Jakarta Utara,Kelapa Gading Timur,Perempuan,4529
2017,Jakarta Utara,Pegangsaan Dua,Perempuan,7073
2017,Jakarta Utara,Kelapa Gading Barat,Perempuan,5398
2017,Jakarta Barat,Cengkareng Barat,Perempuan,10112
2017,Jakarta Barat,Duri Kosambi,Perempuan,12560
2017,Jakarta Barat,Rawa Buaya,Perempuan,9785
2017,Jakarta Barat,Kedaung Kali Angke,Perempuan,5080
2017,Jakarta Barat,Kapuk,Perempuan,22416
2017,Jakarta Barat,Cengkareng Timur,Perempuan,12907
2017,Jakarta Barat,Grogol,Perempuan,2267
2017,Jakarta Barat,Tanjung Duren Utara,Perempuan,2142
2017,Jakarta Barat,Tomang,Perempuan,3936
2017,Jakarta Barat,Jelambar,Perempuan,3917
