bulan,stasiun_pengisian_bahanbakar,jenis_bahanbakar,jumlah_penjualan,penerimaan_pajak
8,Pertamina,Pertamax Turbo,1508000,570417398
8,Total,Performance 92,1354611,441755444
8,Total,Performance 95,224000,97773496
8,Total,Diesel,103346,36858014
8,Shell,Diesel,2363265,828596475
8,Shell,Super,19674332,6476185992
8,Shell,Vpower,7892583,2955138712
9,Pertamina,Bio Solar,50043698,11205843911
9,Pertamina,Solar,21187430,6636557381
9,Pertamina,Premium,93261395,26570465947
9,Pertamina,Pertalite,42036000,12610800000
9,Pertamina,Pertamax,51985545,16612184626
9,Pertamina,Pertamax Plus,0,0
9,Pertamina,Pertamina Dex,2826160,1004209153
9,Pertamina,Dexlite,1092000,315730477
9,Pertamina,Pertamax Racing,0,0
9,Pertamina,BBG,40683,452751454
9,Pertamina,Pertamax Turbo,5316000,2010834799
9,Total,Performance 92,0,0
9,Total,Performance 95,264000,0
9,Total,Diesel,0,0
9,Shell,Diesel,0,0
9,Shell,Super,0,0
9,Shell,Vpower,0,0
10,Pertamina,Bio Solar,0,0
10,Pertamina,Solar,0,0
10,Pertamina,Premium,0,0
10,Pertamina,Pertalite,0,0
10,Pertamina,Pertamax,0,0
10,Pertamina,Pertamax Plus,0,0
10,Pertamina,Pertamina Dex,0,0
10,Pertamina,Dexlite,0,0
10,Pertamina,Pertamax Racing,0,0
10,Pertamina,BBG,0,0
10,Pertamina,Pertamax Turbo,0,0
10,Total,Performance 92,0,0
10,Total,Performance 95,0,0
10,Total,Diesel,0,0
10,Shell,Diesel,0,0
10,Shell,Super,0,0
10,Shell,Vpower,0,0
11,Pertamina,Bio Solar,0,0
11,Pertamina,Solar,0,0
11,Pertamina,Premium,0,0
11,Pertamina,Pertalite,0,0
11,Pertamina,Pertamax,0,0
11,Pertamina,Pertamax Plus,0,0
11,Pertamina,Pertamina Dex,0,0
11,Pertamina,Dexlite,0,0
11,Pertamina,Pertamax Racing,0,0
11,Pertamina,BBG,0,0
11,Pertamina,Pertamax Turbo,0,0
11,Total,Performance 92,0,0
11,Total,Performance 95,0,0
11,Total,Diesel,0,0
11,Shell,Diesel,0,0
11,Shell,Super,0,0
11,Shell,Vpower,0,0
12,Pertamina,Bio Solar,0,0
12,Pertamina,Solar,0,0
12,Pertamina,Premium,0,0
12,Pertamina,Pertalite,0,0
12,Pertamina,Pertamax,0,0
12,Pertamina,Pertamax Plus,0,0
12,Pertamina,Pertamina Dex,0,0
12,Pertamina,Dexlite,0,0
12,Pertamina,Pertamax Racing,0,0
12,Pertamina,BBG,0,0
12,Pertamina,Pertamax Turbo,0,0
12,Total,Performance 92,0,0
12,Total,Performance 95,0,0
12,Total,Diesel,0,0
12,Shell,Diesel,0,0
12,Shell,Super,0,0
12,Shell,Vpower,0,0
