"kode","propinsi","tahun","kelamin","jumlah"
"33","Jawa Tengah","2020","L","17320.1"
"33","Jawa Tengah","2020","P","17620"
"33","Jawa Tengah","2025","L","17809.7"
"33","Jawa Tengah","2025","P","18148.9"
"33","Jawa Tengah","2030","L","18182.4"
"33","Jawa Tengah","2030","P","18569.3"
"33","Jawa Tengah","2035","L","18391.5"
"33","Jawa Tengah","2035","P","18827.9"
"34","DI Yogyakarta","2010","L","1710.9"
"34","DI Yogyakarta","2010","P","1756.6"
"34","DI Yogyakarta","2015","L","1818.8"
"34","DI Yogyakarta","2015","P","1860.4"
"34","DI Yogyakarta","2020","L","1921.6"
"34","DI Yogyakarta","2020","P","1960.7"
"34","DI Yogyakarta","2025","L","2013.2"
"34","DI Yogyakarta","2025","P","2051.4"
"34","DI Yogyakarta","2030","L","2090.7"
"34","DI Yogyakarta","2030","P","2129.5"
"34","DI Yogyakarta","2035","L","2153.8"
"34","DI Yogyakarta","2035","P","2194.7"
"35","Jawa Timur","2010","L","18512.6"
"35","Jawa Timur","2010","P","19053.2"
"35","Jawa Timur","2015","L","19172.4"
"35","Jawa Timur","2015","P","19675.2"
"35","Jawa Timur","2020","L","19693.8"
"35","Jawa Timur","2020","P","20192.5"
"35","Jawa Timur","2025","L","20061.7"
"35","Jawa Timur","2025","P","20584.4"
"35","Jawa Timur","2030","L","20255.6"
"35","Jawa Timur","2030","P","20821.7"
"35","Jawa Timur","2035","L","20256"
"35","Jawa Timur","2035","P","20871.7"
"36","Banten","2010","L","5458.5"
"36","Banten","2010","P","5230.1"
"36","Banten","2015","L","6097.1"
"36","Banten","2015","P","5858.1"
"36","Banten","2020","L","6700.1"
"36","Banten","2020","P","6460.4"
"36","Banten","2025","L","7238"
"36","Banten","2025","P","7011"
"36","Banten","2030","L","7701"
"36","Banten","2030","P","7500.8"
"36","Banten","2035","L","8097.6"
"36","Banten","2035","P","7935.5"
"51","Bali","2010","L","1966.2"
"51","Bali","2010","P","1941.2"
"51","Bali","2015","L","2091"
"51","Bali","2015","P","2061.8"
"51","Bali","2020","L","2206.2"
"51","Bali","2020","P","2174.6"
"51","Bali","2025","L","2309.2"
"51","Bali","2025","P","2276.8"
"51","Bali","2030","L","2398.5"
"51","Bali","2030","P","2366.9"
"51","Bali","2035","L","2471.1"
"51","Bali","2035","P","2441.3"
"52","Nusa Tenggara Barat","2010","L","2187.4"
"52","Nusa Tenggara Barat","2010","P","2328.7"
"52","Nusa Tenggara Barat","2015","L","2345.8"
"52","Nusa Tenggara Barat","2015","P","2489.8"
"52","Nusa Tenggara Barat","2020","L","2488.8"
"52","Nusa Tenggara Barat","2020","P","2636.8"
"52","Nusa Tenggara Barat","2025","L","2611.2"
"52","Nusa Tenggara Barat","2025","P","2764.4"
"52","Nusa Tenggara Barat","2030","L","2712.7"
"52","Nusa Tenggara Barat","2030","P","2871.1"
"52","Nusa Tenggara Barat","2035","L","2795.9"
"52","Nusa Tenggara Barat","2035","P","2958.3"
"53","Nusa Tenggara Timur","2010","L","2333"
"53","Nusa Tenggara Timur","2010","P","2373.2"
"53","Nusa Tenggara Timur","2015","L","2536.9"
"53","Nusa Tenggara Timur","2015","P","2583.2"
"53","Nusa Tenggara Timur","2020","L","2744.2"
"53","Nusa Tenggara Timur","2020","P","2797.2"
"53","Nusa Tenggara Timur","2025","L","2955.2"
"53","Nusa Tenggara Timur","2025","P","3015.6"
"53","Nusa Tenggara Timur","2030","L","3167.4"
"53","Nusa Tenggara Timur","2030","P","3234.8"
"53","Nusa Tenggara Timur","2035","L","3377.8"
"53","Nusa Tenggara Timur","2035","P","3451.3"
"61","Kalimantan Barat","2010","L","2251.8"
"61","Kalimantan Barat","2010","P","2159.6"
"61","Kalimantan Barat","2015","L","2439.9"
"61","Kalimantan Barat","2015","P","2349.7"
"61","Kalimantan Barat","2020","L","2610.5"
"61","Kalimantan Barat","2020","P","2524.3"
"61","Kalimantan Barat","2025","L","2756"
"61","Kalimantan Barat","2025","P","2676.6"
"61","Kalimantan Barat","2030","L","2874.6"
"61","Kalimantan Barat","2030","P","2804.6"
"61","Kalimantan Barat","2035","L","2968.7"
"61","Kalimantan Barat","2035","P","2909.4"
"62","Kalimantan Tengah","2010","L","1156.3"
"62","Kalimantan Tengah","2010","P","1064.5"
"62","Kalimantan Tengah","2015","L","1302.8"
"62","Kalimantan Tengah","2015","P","1192.2"
"62","Kalimantan Tengah","2020","L","1449.3"
"62","Kalimantan Tengah","2020","P","1319.9"
"62","Kalimantan Tengah","2025","L","1589.1"
"62","Kalimantan Tengah","2025","P","1441.9"
"62","Kalimantan Tengah","2030","L","1718.5"
"62","Kalimantan Tengah","2030","P","1555.1"
"62","Kalimantan Tengah","2035","L","1836"
"62","Kalimantan Tengah","2035","P","1658.5"
"63","Kalimantan Selatan","2010","L","1841"
"63","Kalimantan Selatan","2010","P","1801.6"
