 Provinsi ; 1986 ; 1987 ; 1988 ; 1989 ; 1990 ; 1991 ; 1992 ; 1993 ; 1994 ; 1995 ; 1996 ; 1997 ; 1998 ; 1999 ; 2000 ; 2001 ; 2002 ; 2003 ; 2004 ; 2005 ; 2006 ; 2007 ; 2008 ; 2009 ; 2010 ; 2011 ; 2012 ; 2013 ; 2014 ; 2015 ; 2016 ; 2017 ; 2018 
 Sulawesi Utara ; 3,09 ; 2,68 ; 3,48 ; 4,60 ; 3,27 ; 3,52 ; 4,69 ; 5,02 ; 8,38 ; -   ; 9,24 ; 8,02 ; 5,48 ; 7,75 ; 8,66 ; 10,21 ; 11,35 ; 10,79 ; 10,91 ; 14,05 ; 14,62 ; 12,35 ; 10,65 ; 10,56 ; 9,61 ; 10,10 ; 7,98 ; 6,79 ; 7,54 ; 9,03 ; 6,18 ; 7,18 ; 6,86 
 Sulawesi Tengah ; 1,49 ; 2,32 ; 1,80 ; 2,31 ; 2,31 ; 3,05 ; 2,33 ; 2,46 ; 4,83 ; -   ; 4,84 ; 3,77 ; 5,00 ; 4,39 ; 5,09 ; 8,25 ; 8,06 ; 4,64 ; 5,85 ; 7,71 ; 10,31 ; 8,39 ; 5,45 ; 5,43 ; 4,61 ; 6,78 ; 3,95 ; 4,19 ; 3,68 ; 4,10 ; 3,29 ; 3,81 ; 3,43 
 Sulawesi Selatan ; 2,37 ; 1,64 ; 2,07 ; 2,46 ; 2,42 ; 2,72 ; 3,74 ; 3,72 ; 5,30 ; -   ; 5,33 ; 4,48 ; 5,25 ; 6,48 ; 6,44 ; 10,39 ; 12,29 ; 17,32 ; 15,93 ; 15,93 ; 12,76 ; 11,25 ; 9,04 ; 8,90 ; 8,37 ; 8,13 ; 6,01 ; 5,10 ; 5,08 ; 5,95 ; 4,80 ; 5,61 ; 5,34 
 Sulawesi Tenggara ; 1,53 ; 1,08 ; 1,39 ; 1,29 ; 1,40 ; 1,79 ; 2,08 ; 2,23 ; 3,35 ; -   ; 3,66 ; 2,48 ; 2,56 ; 4,36 ; 3,10 ; 7,51 ; 8,33 ; 10,30 ; 9,35 ; 10,93 ; 9,67 ; 6,40 ; 5,73 ; 4,74 ; 4,61 ; 4,69 ; 4,14 ; 4,38 ; 4,43 ; 5,55 ; 2,72 ; 3,30 ; 3,26 
 Gorontalo ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7,78 ; 13,17 ; 10,17 ; 12,29 ; 14,04 ; 7,62 ; 7,16 ; 5,65 ; 5,89 ; 5,16 ; 6,74 ; 4,47 ; 4,15 ; 4,18 ; 4,65 ; 2,76 ; 4,28 ; 4,03 
 Sulawesi Barat ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6,45 ; 5,45 ; 4,57 ; 4,51 ; 3,25 ; 3,35 ; 2,16 ; 2,35 ; 2,08 ; 3,35 ; 3,33 ; 3,21 ; 3,16 
 Maluku ; 3,01 ; 4,09 ; 2,94 ; 2,06 ; 2,37 ; 3,07 ; 3,28 ; 2,99 ; 4,03 ; -   ; 5,55 ; 5,61 ; 3,70 ; 4,70 ; -   ; 11,28 ; 8,08 ; 12,63 ; 11,67 ; 15,01 ; 13,72 ; 12,20 ; 10,67 ; 10,57 ; 9,97 ; 10,81 ; 7,71 ; 9,91 ; 10,51 ; 9,93 ; 7,05 ; 9,29 ; 7,27 
 Maluku Utara ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9,32 ; 15,25 ; 7,50 ; 7,53 ; 13,09 ; 6,90 ; 6,05 ; 6,48 ; 6,76 ; 6,03 ; 5,34 ; 4,82 ; 3,80 ; 5,29 ; 6,05 ; 4,01 ; 5,33 ; 4,77 
 Papua Barat ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10,17 ; 9,46 ; 7,65 ; 7,56 ; 7,68 ; 6,73 ; 5,42 ; 4,40 ; 5,02 ; 8,08 ; 7,46 ; 6,49 ; 6,30 
 Papua ; 2,09 ; 1,49 ; 1,80 ; 2,46 ; 3,11 ; 2,26 ; 2,14 ; 2,04 ; 3,09 ; -   ; 4,03 ; 3,35 ; 3,22 ; 6,42 ; 3,62 ; 5,82 ; 6,01 ; 6,21 ; 8,00 ; 7,31 ; 5,83 ; 5,01 ; 4,39 ; 4,08 ; 3,55 ; 5,02 ; 3,71 ; 3,15 ; 3,44 ; 3,99 ; 3,35 ; 3,62 ; 3,20 
